core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,lift,baseline_rate_per_100k
023,111,0.0013880378646725607,seed_sum_range4_best,8-11,19,8071,1.6959964548863073,138.80378646725606
023,111,0.0013880378646725607,seed_structure,AABB,5,2148,1.6770052175080108,138.80378646725606
023,111,0.0013880378646725607,seed_spread,<=2,8,4317,1.335077954952868,138.80378646725606
023,111,0.0013880378646725607,seed_high_count,1,36,19875,1.3049505354411013,138.80378646725606
023,111,0.0013880378646725607,overlap_unique,3,3,1669,1.294981620326138,138.80378646725606
023,111,0.0013880378646725607,overlap_unique,>=2,35,20198,1.2484132315303718,138.80378646725606
023,111,0.0013880378646725607,seed_contains_core_pair,yes,35,20198,1.2484132315303718,138.80378646725606
023,111,0.0013880378646725607,seed_structure,AAAB,5,2934,1.2277461510590344,138.80378646725606
023,111,0.0013880378646725607,seed_even_count,3,33,20021,1.1874815227794597,138.80378646725606
023,111,0.0013880378646725607,seed_last_in_core,yes,38,23904,1.1452800692258522,138.80378646725606
024,103,0.0012879990996511148,seed_sum_range4_best,8-11,15,8071,1.4429402643769556,128.79990996511148
024,103,0.0012879990996511148,seed_even_count,0,9,4934,1.416210483233045,128.79990996511148
024,103,0.0012879990996511148,seed_high_count,0,8,4985,1.245974817656854,128.79990996511148
024,103,0.0012879990996511148,seed_sum_mod3,0,38,26368,1.118898900697521,128.79990996511148
024,103,0.0012879990996511148,seed_high_count,3,28,19954,1.089463046560487,128.79990996511148
024,103,0.0012879990996511148,seed_even_count,1,28,19997,1.087120349605839,128.79990996511148
024,103,0.0012879990996511148,grid_last5_core_digits,3,75,53803,1.082278950410424,128.79990996511148
024,103,0.0012879990996511148,seed_spread,<=2,6,4317,1.0790799975711287,128.79990996511148
024,103,0.0012879990996511148,seed_high_count,2,42,30237,1.0784376243212601,128.79990996511148
024,103,0.0012879990996511148,seed_structure,ABCD,56,40580,1.0714216673764396,128.79990996511148
025,127,0.0015881153947154521,seed_sum_range4_best,30-33,5,1483,2.1229843740874266,158.81153947154522
025,127,0.0015881153947154521,seed_structure,AABB,6,2148,1.7588747635595832,158.81153947154522
025,127,0.0015881153947154521,seed_high_count,4,12,4918,1.5364225262814089,158.81153947154522
025,127,0.0015881153947154521,seed_spread,<=2,10,4317,1.458598946848114,158.81153947154522
025,127,0.0015881153947154521,seed_high_count,1,37,19875,1.1722291883325906,158.81153947154522
025,127,0.0015881153947154521,overlap_unique,3,3,1629,1.1596264555328375,158.81153947154522
025,127,0.0015881153947154521,seed_high_count,0,9,4985,1.1368293857951808,158.81153947154522
025,127,0.0015881153947154521,seed_first_in_core,yes,43,23847,1.1354098255644829,158.81153947154522
025,127,0.0015881153947154521,seed_structure,AABC,60,34212,1.104309304374484,158.81153947154522
025,127,0.0015881153947154521,seed_even_count,3,35,20021,1.1007792211878316,158.81153947154522
027,119,0.0014880766296940064,overlap_unique,0,43,19144,1.509421298816225,148.80766296940064
027,119,0.0014880766296940064,seed_sum_range4_best,17-20,42,21122,1.3362538084071807,148.80766296940064
