core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
13,287,0.008165936379673363,seed_lead_band,4-6,80,10552,0.0075815011372251705,0.928430100936989,-0.0005844352424481921,816.5936379673362
13,287,0.008165936379673363,seed_sum_mod3,2,91,11906,0.0076432051066689065,0.9359863647351407,-0.0005227312730044561,816.5936379673362
13,287,0.008165936379673363,seed_even_count,2,102,13273,0.007684773600542455,0.9410768395981363,-0.0004811627791309076,816.5936379673362
13,287,0.008165936379673363,seed_vtrac_unique,3,157,20147,0.007792723482404328,0.9542963746083014,-0.0003732128972690346,816.5936379673362
13,287,0.008165936379673363,seed_trail_band,4-6,84,10571,0.007946268091949673,0.9730994367932516,-0.0002196682877236896,816.5936379673362
13,287,0.008165936379673363,seed_trail_band,0-3,111,13955,0.007954138301683985,0.9740632221288688,-0.000211798077989378,816.5936379673362
13,287,0.008165936379673363,seed_sum_lastdigit,7,29,3623,0.008004416229643941,0.9802202536831567,-0.00016152015002942124,816.5936379673362
13,287,0.008165936379673363,seed_high_count,3,70,8727,0.00802108399220809,0.9822613867252458,-0.00014485238746527254,816.5936379673362
13,287,0.008165936379673363,seed_lead_band,0-3,113,14064,0.008034698521046643,0.9839286209780673,-0.0001312378586267194,816.5936379673362
13,287,0.008165936379673363,seed_spread_band,7-9,123,15212,0.008085721798580069,0.9901769279891816,-8.02145810932936e-05,816.5936379673362
13,287,0.008165936379673363,seed_mirror_pairs_any,no,152,18783,0.008092424000425917,0.9909976791601717,-7.351237924744548e-05,816.5936379673362
13,287,0.008165936379673363,seed_sum_lastdigit,4,29,3579,0.008102822017323274,0.9922710195848216,-6.31143623500887e-05,816.5936379673362
13,287,0.008165936379673363,seed_consecutive_pairs,3,5,617,0.008103727714748784,0.9923819312284348,-6.22086649245783e-05,816.5936379673362
13,287,0.008165936379673363,seed_repeat_digit,0,14,1727,0.008106543138390272,0.9927267078113746,-5.939324128309033e-05,816.5936379673362
13,287,0.008165936379673363,seed_consecutive_pairs,1,133,16392,0.008113714006832601,0.9936048518611101,-5.2222372840761075e-05,816.5936379673362
14,265,0.007539976099698401,seed_even_count,4,9,2213,0.004066877541798464,0.5393753889964106,-0.003473098557899937,753.9976099698401
14,265,0.007539976099698401,seed_repeat_digit,2,8,1756,0.004555808656036446,0.6042205699058752,-0.0029841674436619546,753.9976099698401
14,265,0.007539976099698401,seed_repeat_digit,5,9,1767,0.0050933786078098476,0.6755165454720186,-0.0024465974918885533,753.9976099698401
